"code","name","name_eng","base_year","C행정구역별_읍면동","행정구역별_읍면동","시점","총인구_명","남자_명","여자_명","내국인_계_명","내국인_남자_명","내국인_여자_명","외국인_계_명","외국인_남자_명","외국인_여자_명","가구_계_가구","일반가구_가구","집단가구_가구","외국인가구_가구","주택_계_호","단독주택_호","아파트_호","연립주택_호","다세대주택_호","비거주용_건물내_주택_호","주택이외의_거처_호"
"38030","진주시","Jinju-si","2010","38030"," 진주시",2010,337896,167005,170891,335297,165447,169850,2599,1558,1041,122799,122011,151,637,100159,42338,53341,1178,1589,1713,1409
"37430","울릉군","Ulleung-gun","2010","37430"," 울릉군",2010,7764,3998,3766,7737,3988,3749,27,10,17,3509,3494,5,10,3318,2706,229,48,214,121,38
"37420","울진군","Uljin-gun","2010","37420"," 울진군",2010,47108,23025,24083,46777,22768,24009,331,257,74,20822,20747,15,60,21867,15022,4405,1385,790,265,108
"37410","봉화군","Bonghwa-gun","2010","37410"," 봉화군",2010,31242,15255,15987,31081,15201,15880,161,54,107,13739,13693,18,28,14386,12155,1302,390,230,309,100
"37400","예천군","Yecheon-gun","2010","37400"," 예천군",2010,43015,20323,22692,42757,20264,22493,258,59,199,19271,19214,20,37,20691,17350,2423,478,165,275,180
"37390","칠곡군","Chilgok-gun","2010","37390"," 칠곡군",2010,114246,58668,55578,112104,57185,54919,2142,1483,659,41008,40220,127,661,37014,14086,20233,215,1920,560,398
"37380","성주군","Seongju-gun","2010","37380"," 성주군",2010,36859,17862,18997,36319,17480,18839,540,382,158,15303,15138,50,115,16051,14519,911,191,194,236,255
"37370","고령군","Goryeong-gun","2010","37370"," 고령군",2010,31817,15840,15977,31000,15195,15805,817,645,172,13177,12930,57,190,13302,9451,3165,77,391,218,149
"37360","청도군","Cheongdo-gun","2010","37360"," 청도군",2010,38228,17639,20589,37935,17506,20429,293,133,160,16721,16657,41,23,18924,16466,1486,363,351,258,116
"37350","영덕군","Yeongdeok-gun","2010","37350"," 영덕군",2010,36428,16831,19597,36220,16723,19497,208,108,100,17026,16966,21,39,17753,15287,856,818,401,391,94
"37340","영양군","Yeongyang-gun","2010","37340"," 영양군",2010,16540,7751,8789,16453,7740,8713,87,11,76,7512,7498,6,8,7963,7297,125,206,282,53,62
"37330","청송군","Cheongsong-gun","2010","37330"," 청송군",2010,24008,11529,12479,23930,11515,12415,78,14,64,11307,11287,13,7,12027,9904,1328,217,334,244,85
"37320","의성군","Uiseong-gun","2010","37320"," 의성군",2010,51247,23726,27521,51024,23619,27405,223,107,116,24279,24214,27,38,26096,23680,1400,274,411,331,121
"37310","군위군","Gunwi-gun","2010","37310"," 군위군",2010,19993,9470,10523,19794,9335,10459,199,135,64,9400,9348,19,33,10133,9478,193,261,75,126,102
"37100","경산시","Gyeongsan-si","2010","37100"," 경산시",2010,266036,134391,131645,260643,131087,129556,5393,3304,2089,102823,100576,209,2038,77812,22507,52120,578,1599,1008,395
